product_id,sku,category,vertical,order_date,return_amount,reason,sub_reason
CFTGDDBYMAZQCQ8X,WEEGRO-CT-M1,LivingRoomSF,SmallCoffeeTables,2026-05-09,1838,MFG DEFECT POOR FINISH,WOOD LAMINATE SCRATCHES
CFTGDDBYMAZQCQ8X,WEEGRO-CT-M1,LivingRoomSF,SmallCoffeeTables,2026-05-12,1838,DAMAGED PRODUCT,DAMAGED PRODUCT RECEIVED
CFTHGMJZGMGDGXZC,WEEGRO-CT-PLASTIC,LivingRoomSF,SmallCoffeeTables,2026-05-06,953,INSTALL ASSEMBLY ISSUE,ALIGNMENT ISSUE
CFTGYFNVWDUHNJFW,WEEGRO-CT-PL,LivingRoomLF,CoffeeAndCentreTable,2026-05-20,2134,MFG DEFECT POOR FINISH,WOOD LAMINATE SCRATCHES
CFTGDDBYMAZQCQ8X,WEEGRO-CT-M1,LivingRoomSF,SmallCoffeeTables,2026-05-20,2171,MFG DEFECT POOR FINISH,NOT FUNCTIONING
CFTHGMJZGMGDGXZC,WEEGRO-CT-PLASTIC,LivingRoomSF,SmallCoffeeTables,2026-05-20,923,MFG DEFECT POOR FINISH,NOT FUNCTIONING
CFTHGMJZGMGDGXZC,WEEGRO-CT-PLASTIC,LivingRoomSF,SmallCoffeeTables,2026-05-25,937,DAMAGED PRODUCT,DAMAGED PRODUCT RECEIVED
